epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,21395.5,1.14096,0.47783,0.93661,0.93534,0.91513,0.95611,0.61296,1.28965,0.51451,1.03426,0.0002179,0.0002179,0.0002179
160,21528,1.14024,0.47794,0.93776,0.93568,0.9152,0.95613,0.61322,1.28968,0.51447,1.03432,0.00021295,0.00021295,0.00021295
161,21661,1.13575,0.47532,0.93676,0.93527,0.91549,0.9561,0.61309,1.28985,0.51439,1.03443,0.000208,0.000208,0.000208
162,21793.8,1.13498,0.47579,0.93873,0.93535,0.91525,0.95599,0.61292,1.28998,0.51448,1.03453,0.00020305,0.00020305,0.00020305
163,21926.3,1.13843,0.47541,0.93776,0.93539,0.91516,0.95601,0.61302,1.29016,0.51468,1.03472,0.0001981,0.0001981,0.0001981
164,22059.4,1.12843,0.4709,0.93374,0.93515,0.91524,0.95606,0.61301,1.29037,0.51465,1.03485,0.00019315,0.00019315,0.00019315
165,22192.3,1.13649,0.47446,0.93439,0.93495,0.91586,0.95595,0.61296,1.29047,0.51472,1.03493,0.0001882,0.0001882,0.0001882
166,22324.3,1.12935,0.47173,0.93443,0.93466,0.91621,0.95592,0.61291,1.29062,0.51502,1.03495,0.00018325,0.00018325,0.00018325
167,22457.1,1.12484,0.46818,0.9334,0.93356,0.91714,0.956,0.61306,1.29077,0.51496,1.03505,0.0001783,0.0001783,0.0001783
168,22589.7,1.12418,0.47131,0.93213,0.93373,0.91745,0.95604,0.6131,1.29094,0.51488,1.03518,0.00017335,0.00017335,0.00017335
169,22722.6,1.12341,0.46896,0.93284,0.93434,0.91664,0.95598,0.61291,1.29102,0.51498,1.03528,0.0001684,0.0001684,0.0001684
170,22855.3,1.12503,0.46989,0.93151,0.93432,0.9167,0.95587,0.613,1.29122,0.51501,1.03538,0.00016345,0.00016345,0.00016345
171,22987.8,1.12121,0.46909,0.9321,0.93476,0.91638,0.95588,0.61301,1.29134,0.51515,1.0355,0.0001585,0.0001585,0.0001585
172,23120.8,1.12612,0.47043,0.93318,0.93459,0.9166,0.95579,0.61276,1.29141,0.5152,1.03562,0.00015355,0.00015355,0.00015355
173,23253.4,1.11402,0.46649,0.9299,0.9344,0.91671,0.95575,0.61285,1.29163,0.51536,1.03571,0.0001486,0.0001486,0.0001486
174,23385.7,1.11773,0.4669,0.93244,0.93448,0.91665,0.95576,0.61291,1.29179,0.51532,1.03576,0.00014365,0.00014365,0.00014365
175,23518.4,1.1139,0.46463,0.93062,0.9342,0.91661,0.95579,0.61279,1.29205,0.51557,1.03585,0.0001387,0.0001387,0.0001387
176,23651.2,1.11408,0.46482,0.92849,0.93434,0.91645,0.95574,0.61286,1.29202,0.51568,1.03587,0.00013375,0.00013375,0.00013375
177,23783.6,1.11769,0.46673,0.93066,0.93431,0.91672,0.95587,0.61294,1.29229,0.5158,1.03599,0.0001288,0.0001288,0.0001288
178,23916.3,1.11465,0.46571,0.92957,0.93396,0.91713,0.95589,0.61289,1.29241,0.51582,1.03608,0.00012385,0.00012385,0.00012385
